firstName,lastName,email,branch,phone
Ahmet,Yılmaz,ahmet.yilmaz@okul.com,Matematik,5551234567
Ayşe,Demir,ayse.demir@okul.com,Türkçe,5551234568
Mehmet,Kaya,mehmet.kaya@okul.com,Fen Bilgisi,5551234569
Fatma,Şahin,fatma.sahin@okul.com,İngilizce,5551234570
Ali,Çelik,ali.celik@okul.com,Sosyal Bilgiler,5551234571
Zeynep,Öztürk,zeynep.ozturk@okul.com,Beden Eğitimi,5551234572
Hasan,Aydın,hasan.aydin@okul.com,Müzik,5551234573
Elif,Yıldız,elif.yildiz@okul.com,Resim,5551234574
Murat,Arslan,murat.arslan@okul.com,Teknoloji,5551234575
Selin,Koç,selin.koc@okul.com,Din Kültürü,5551234576

